Requirement,Type
The Cyber Security Plan shall include an environmental scan of best practices in the industry to ensure that systems are safe and protected from intruders;,Construction
The Cyber Security Plan shall include a penetration test wherein the firm assumes the role of an attacker to reveal weaknesses in the security readiness of the network and devices. ,Construction
The Cyber Security Plan shall identify the weakest security link in the network to focus improvements;,Construction
The Cyber Security Plan shall ensure that the system does not broadcast the SSID of the network to reveal it to unauthorized snoopers;,Construction
The Cyber Security Plan shall enable encryption of 5.8 GHz radios that interface to all ITS field devices;,Construction
The Cyber Security Plan shall develop a schedule to change the user names and passwords prior to Substantial Completion of the Bypass and at regular intervals. ,Construction
The Cyber Security Plan shall consider various threat models including infiltration through the wireless and online networks. The threat models shall consider scenarios in which the attacker acquires physical access to the devices or cabinets as well as wireless and online access through the network;,Construction
The Cyber Security Plan shall be coordinated with the Ministry including staff at the Data Management Centre (the Data Hub and the Traffic Operations Hub). ,Construction
The Cyber Security Plan shall be complete and current as of the date of Substantial Completion and updated by Project Co at 2 year intervals during the Operational Term;,Construction
The Cyber Security Plan shall apply to all radio modems that will be designed as part of the Bypass including 5.8 GHz and 900 MHz (if used);,Construction
The Cyber Security Plan shall apply to all devices that provide remote or local access to the ITS Infrastructure including handheld terminals or laptops;,Construction
The Cyber Security Plan shall address the use of Virtual Private Networks (VPN) for service providers.,Construction
The Cyber Security Plan shall address the use of pre-set default user names and passwords on all ITS devices. ,Construction
The Cyber Security Plan shall address the status of the devices and network going forward from Substantial Completion. ,Construction
The Cyber Security Plan shall address the option of profile-based access control;,Construction
The Cyber Security Plan shall address MAC address filtering for network interfaces.,Construction
"The Cyber Security Plan shall address encryption of wireless data transfer using WPA-2 (personal and enterprise), WPA, WEP and other protocols.",Construction
The Cyber Security Audit shall provide an assessment of the current system as designed.,Construction
"The Cyber Security Audit shall address but not be limited to the following activities:
- Prepare recommendations to mitigate impacts of an attack.",Construction
"The Cyber Security Audit shall address but not be limited to the following activities:
- Identify the supplier (manufacturer or developer) of the product;",Construction
"The Cyber Security Audit shall address but not be limited to the following activities:
- Follow up meetings/teleconference calls with supplier(s) if needed;",Construction
"The Cyber Security Audit shall address but not be limited to the following activities:
- Document product warranties and firmware update requirements;",Construction
"The Cyber Security Audit shall address but not be limited to the following activities:
- Assess liability of damages due to an attack; ",Construction
"The Cyber Security Audit shall address but not be limited to the following activities:
- Assess impacts on the Data Management Centre;",Construction
"The Cyber Security Audit shall address but not be limited to the following activities:
-  Identify the hardware or software item and describe details;",Construction
"The Cyber Security Audit shall address but not be limited to the following activities:
-  Field visits to device locations to determine vulnerabilities.",Construction
"The Cyber Security Audit shall address but not be limited to the following activities:
-  Determine possible impacts of an attack;",Construction
"The Cyber Security Audit shall address but not be limited to the following activities:
-  Assess vulnerabilities and risks of each device or product;",Construction
The central facility of the Bypass is the Ministry Data Management Centre (DMC).,Construction
"The central ATMS software shall be scalable and support additional devices, corridors and functionality. ",Construction
The central ATMS software shall be capable of managing the device data including video and incorporating them on the displays.,Construction
The CCTV units shall have high speed “pan-tilt-zoom” (PTZ) functionality with movement controlled from the Ministry Data Management Centre with a full 360 degree “pan” range and 220 degree of tilt.,Construction
"The CCTV cameras will include an electrical surge and lightning protection, based on approved Ministry suppliers.",Construction
The CCTV cameras that are to be installed for the Operational Term shall be permanent and at designated locations on the Bypass mainline and shall transmit images and data to the Data Management Centre.  ,Construction
"The CCTV cameras shall support MPEG-4 standards, as a minimum, including all parts or subsets of the standards.",Construction
The CCTV cameras shall provide colour images with a minimum of 470 lines of horizontal resolution while in daytime mode.,Construction
"The CCTV cameras shall perform in all weather conditions including fog, ice, snow, wind, freezing rain, changing temperatures and lighting.",Construction
The CCTV cameras shall include a wireless modem to transmit data to a local receiver and then to the Data Management Centre.,Construction
"The CCTV cameras shall have the following features for image control:
§ Image stabilization including software;",Construction
"The CCTV cameras shall have the following features for image control:
§ Image rotation",Construction
"The CCTV cameras shall have the following features for image control:
§ Electronic shutter;",Construction
"The CCTV cameras shall have the following features for image control:
§ Backlight compensation;",Construction
"The CCTV cameras shall have the following features for image control:
§ “auto” and manual white balance; ",Construction
The CCTV cameras shall have the ability to switch from daytime to “night- vision” automatically.,Construction
The CCTV cameras shall have no streaks or peaks within the image during operation in day or night mode without noticeable lags.,Construction
The CCTV cameras shall be located such that all movements are visible to the DMC operator.,Construction
The CCTV cameras shall be installed on a standard breakaway pole or an existing structure. ,Construction
The CCTV cameras shall be full pan-tilt-zoom (PTZ). ,Construction
"The CCTV cameras shall be full colour, digital high definition (HD) “IP” 1080 p units. ",Construction
"The CCTV cameras installed during the Construction Activities shall be portable and live, showing real time, broadcast quality images that are transmitted directly to the Highway Hotline and other media to show progress of the construction.  ",Construction
The CCTV cameras and their images shall be available to the Ministry’s Advanced Traveller Information System (ATIS).,Construction
"The CCTV camera’s functions shall be controlled and directed by the DMC Traffic Operations Hub located at 1855 Victoria Ave, Regina, SK.",Construction
The CCTV camera’s diagnostics shall be accessible via the DMC or locally via a laptop computer.,Construction
The CCTV camera shall not exhibit flares in the image at any focal length or during any period of night or day.,Construction
"The CCTV camera shall include an encoder that will enable control all functions in the device from the DMC including PTZ, focal adjustments, iris control, and others.",Construction
"The CCTV camera shall have PTZ functionality with a field of view so that the operator can assess visibility, local conditions and other road-related factors on the corridor. ",Construction
The CCTV camera shall be mountable at a height of up to 15 metres.,Construction
"The CCTV camera shall be located within the secure, fenced enclosure and be controlled by the DMC operators in the Traffic Operations Hub.",Construction
The CCTV camera images shall be screen shots that are refreshed every 120 seconds.,Construction
The cameras shall support 30 frames per second (60 Hz) for all resolutions. ,Construction
The cameras shall contain an additional memory slot that will support SD/SDHC/SDXC memory card expansion.,Construction
The cameras shall be mounted on a secure structure that is stable but can be moved to another location. ,Construction
The camera will be capable of operation in temperatures ranging from -50 degrees C to + 50 degrees C. ,Construction
The camera shall start up in extreme weather conditions within this range of temperature.,Construction
"The camera shall have a 36x optical zoom and 12x digital zoom. The camera shall support at least 250 pre-set positions and be controlled by an input device at the Data Management Centre such as a joystick, mouse, or keyboard.",Construction
"The camera shall be accessible for maintenance purposes from the shoulder using a standard Ministry vehicle (“bucket truck”) with a lifting arm, controls and enclosure for a maintenance worker. ",Construction
The camera must be capable of providing time- lapse images directly to the Highway Hotline of each interchange and surrounding area during construction. ,Construction
"The Bypass ITS Infrastructure devices shall transmit their data over the wireless network to receivers inter-connected to the fiber network, through the SaskTel Data Centre and then to the Ministry DMC.",Construction
The ATMS software will be provided by Project Co as a part of the application software in the DMC.,Construction
"The ATMS software shall interface to the TDC, CCTV cameras and VMS devices on the Bypass.",Construction
The ATMS software shall include a generic API for other application interfaces. ,Construction
"The ATMS software shall continuously monitor the data from the Bypass ITS devices including speeds, volumes, headway (gap), and lane occupancy to determine the likelihood of an incident and alert the operators in the Traffic Operations Hub.",Construction
"The ATMS software shall be comprised of several modules including incident management, traveller information and road-weather systems. ",Construction
"The ATIS information is provided in two formats: Format 2 -En-route information informs the traveller on real time traffic conditions throughout the journey. The systems can include radio, variable message signs (VMS), and in-vehicle navigation.",Construction
"The ATIS information is provided in two formats: Format 1 - Pre-trip information informs the traveller to make decisions prior to departure. The systems include but are not limited to traffic-related web sites, highway advisory radio, TV and other media; and",Construction
"The ATIS information allows the traveller to make their best trip decisions which may include delaying their trip, changing modes, altering routes, travel times, or even cancellation of their journey.",Construction
Testing of the ATMS software can be done with a simulated dataset due to the limited density of TDC units at Substantial Completion.,Construction
TDC location 7 & 8: On the Bypass mainline east of the Tower Road interchange in the EB and WB directions,Construction
TDC location 5& 6:  Highway 6 south of the Bypass mainline in the NB and SB directions; ,Construction
TDC location 3 & 4:  On the Bypass mainline south of the Highway 1 interchange west of Regina in NB and SB directions;,Construction
TDC location 1 & 2: On the Bypass mainline north of Dewdney Ave in NB and SB directions;,Construction
"Signs indicating who is maintaining the Bypass Infrastructure during the Operational Term with associated contact information shall be placed on the mainline downstream of major access points on westbound Highway 1 East, west of Highway 46 interchange at Balgonie (1 sign)",Construction
"Project Co’s quality control staff shall have access to quality documents, quality records, and issued for construction drawings.",Construction
"Project Co’s quality control staff shall be responsible for the inspection and testing requirements as set out in the IMS Manual, and CMP, and shall be trained to fully understand the IMS Manual and CMP.",Construction
Project Co’s quality control staff responsible for quality control inspection and testing shall have the qualifications demonstrated by certificates of training and 5 years of experience on similar highway and bridge construction projects.,Construction
Project Co will work closely with the Ministry during the testing phase to ensure that the field devices and application software work on the hardware platform in the Data Management Centre provided by the Ministry.,Construction
Project Co will provide design and specifications for the two work stations.,Construction
Project Co will be provided with vacant space within the Data Hub building. ,Construction
"Project Co shall, at its sole cost and expense, correct and rectify any Non-Conformance or cause to be corrected and rectified any Non-Conformance described in a NCR.",Construction
"Project Co shall work with the Ministry Information Technology Office (ITO) staff to ensure that the system design and specifications for the Data Hub, including all hardware, software and devices, meet the Ministry requirements for network connectivity, security, redundancy, and disaster recovery processes and protocols.",Construction
Project Co shall undertake user acceptance testing of the customized software. ,Construction
Project Co shall undertake system performance testing and user acceptance testing of the customized software. ,Construction
Project Co shall undertake External IMS Audits throughout the Project Term.,Construction
Project Co shall submit to the Ministry Representative in accordance with the Review Procedure any proposed changes or additions to or revisions of any of the IMS Documentation.,Construction
Project Co shall submit to the Ministry a “Road Safety Audit Certificate” in the form given in Schedule 9 – Review Procedure in respect of the Post Construction Road Safety Audits. ,Construction
"Project Co shall submit the system design of the administrative portal to the Ministry for review including a test plan, prior to commissioning.",Construction
Project Co shall submit the Cyber Security and Plan to the Ministry for review prior to Substantial Completion.,Construction
"Project Co shall submit copies of all user guides, test results, source codes, warranties, documentation and licences to the Ministry.",Construction
Project Co shall submit a test plan for Ministry review of the VPN connection for data transfer between these two locations. ,Construction
Project Co shall review the existing VMS technology at this location and assess the operating software used by this facility. Project Co shall prepare an assessment report for review that includes the cost of design and implementation of an interface to the operating software to facilitate the integration of this VMS into the Ministry traffic management system. ,Construction
"Project Co shall retain and maintain in safe storage, at its expense, all records for a minimum period of the greater of: 
(a) 7 years; and
(b) 6 years following Substantial Completion of that portion of the Bypass to which the records relate or, if the records relate to the Project generally, 6 years following Substantial Completion, 
 or such longer period as required by Applicable Law.",Construction
Project Co shall resolve Non-Conformances within the response time specified on the NCRs.,Construction
"Project Co shall provide to the Ministry not later than 60 days after the end of each fiscal quarter part or all of which falls in a Contract Year, a copy of Project Co’s unaudited consolidated financial statements, in respect of that period, and not later than 120 days after the end of such fiscal year, a copy of Project Co''s audited financial statements, in respect of that period, in each case, prepared in accordance with Applicable Law and Canadian GAAP, together with copies of all related auditors'' reports and, to the extent publicly available, all related directors'' reports and other notices and circulars to shareholders or partners, all of which documents, whether or not marked or identified as confidential or proprietary but subject to the exceptions contained in Section 51 of this Project Agreement, shall be treated by the Ministry as Confidential Information of Project Co. ",Construction
Project Co shall provide the Ministry with a copy of any or all records when requested within 48 hours of the request. ,Construction
Project Co shall provide the Ministry with a copy of any or all quality records when requested within 48 hours of the request. ,Construction
Project Co shall provide the Ministry with a copy of any or all occupational health and safety records when requested within 48 hours of the request. ,Construction
Project Co shall provide the Ministry Representative with such information as the Ministry Representative may request from time to time to demonstrate compliance with this Schedule14.,Construction
Project Co shall provide notice to the Ministry Representative by email at least one week prior to the pre-construction meetings so that the Ministry Representative may attend.  ,Construction
Project Co shall provide final audit reports to the Ministry Representative within fourteen days of the closing of the audits.,Construction
Project Co shall provide final audit reports to the Ministry Representative within fourteen calendar days of the closing of the audits.,Construction
Project Co shall provide assistance to the Ministry to ensure that the application software works properly  on the hardware environment; ,Construction
"Project Co shall provide any necessary software and hardware to provide cyber security to prevent unauthorized users to access, modify, remove or replace data from the pre-screening sites.",Construction
Project Co shall provide any hardware and software for data security including encryption of the data sets.,Construction
Project Co shall provide an updated IMS Audit Plan at twelve month intervals following submission of its initial IMS Audit Plan.,Construction
Project Co shall provide an updated IMS Audit Plan at 12 month intervals thereafter.,Construction
Project Co shall provide a copy of all Construction Certificates to the Independent Certifier.,Construction
"Project Co shall provide a comprehensive Traffic Management Plan (TMP) that describes how it intends to administer the traffic management processes in connection with the Regina Bypass in accordance with the ISO 9001 standard, its IMS Manual and the provisions of the Project Agreement. The TMP shall at a minimum include or reference detailed quality system procedures and process flow charts for the following:
-Major processes outlined in the Traffic Management Plan and sub-plans
External IMS Audits
-Internal IMS Audits
-management of Non-conformance
-road safety audits 
-Corrective Actions and Preventive Actions
-document management; and
-control of IMS Records",Construction
"Project Co shall provide a comprehensive Project Safety Plan that describes how it intends to manage the health and safety components of the Project in accordance with the COR program, as enhanced by OHSAS 18001, its IMS Manual and the provisions of this Project Agreement.",Construction
"Project Co shall procure, install, test, maintain and update the application software for the DMC under Ministry ITO supervision during the Project Term.",Construction
Project Co shall prepare and submit each Inspection and Test Plan in respect of the Works to the Ministry’s Representative at least 15 Business Days prior to performing the relevant Works.,Construction
"Project Co shall prepare a test plan for the wireless network and the ITS devices at each location, for review. ",Construction
Project Co shall prepare a system design and test plan for Ministry review including each device and integration into the DMC. ,Construction
Project Co shall prepare a Performance Monitoring Report in respect of each Payment Period.,Construction
"Project Co shall prepare a high level conceptual design, including system architecture, of the ATMS software for review.",Construction
Project Co shall prepare a final test report for Ministry review.,Construction
"Project Co shall prepare a Corrective Action plan, and, if appropriate, a Preventative Action plan, and submit it to the Ministry Representative within 20 Business Days of the closing of the Ministry’s IMS Audit.",Construction
Project Co shall obtain the approval of the Ministry for the locations of the temporary CCTV cameras. ,Construction
Project Co shall obtain approval of the Ministry to conduct the test and prepare a test report to be submitted to the Ministry for review.,Construction
"Project Co shall notify the Ministry if Project Co wishes to destroy any records or in respect of which the required period under Section 1.6 or under Applicable Law for their retention has expired.  The Parties agree that: (a) within 60 days of such notice, the Ministry may elect to require Project Co to deliver such records to the Ministry, in which case Project Co shall, at the expense of the Ministry, deliver such records (with the exception of Sensitive Information) to the Ministry in the manner and to the location as the Ministry shall specify; or
(b) if the Ministry fails to notify Project Co of its election pursuant to Section 1.7(a) of this Schedule 13 within such 60 day period, Project Co may, at its expense, destroy such records.
",Construction
Project Co shall not provide or sell drainge capacity to any third party.,Construction
Project Co shall make all IMS-QMS records available to the Ministry for inspection and review.,Construction
"Project Co shall make all IMS-OHS records available to the Ministry for inspection and review, as requested.",Construction
"Project Co shall make all IMS-EMS records available to the Ministry for inspection and review, as requested.",Construction
"Project Co shall l link all devices to the receiver, including all interfaces and multiplexing equipment, so that data can be transmitted to the SaskTel data centre and the Ministry Data Management Centre.",Construction
"Project Co shall issue, as part of its IMS, a NCR stipulating any Non- Conformance with respect to the Works that it has identified.",Construction
Project Co shall install one HDTV image quality camera at each interchange location. ,Construction
Project Co shall include replacement of the VMS as an option in the assessment report.,Construction
Project Co shall implement and maintain a NCRTS data base application to monitor the status of all NCRs initiated by Ministry and Project Co.,Construction
"Project Co shall implement a program and shall have mechanisms in place, such as management reviews and IMS Audit programs, to allow all identified opportunities for improvement to be recorded, tracked, implemented and closed out.",Construction
Project Co shall have access to Bypass traffic data through this secure login system but not pre-screening data.  ,Construction
Project Co shall establish and maintain complete and accurate IMS Records.,Construction
"Project Co shall ensure that the traffic signal controllers, detectors, communication network and related technologies are protected against unauthorized intrusion and attack.  ",Construction
Project Co shall ensure that the RWIS station and all devices within the station are protected against unauthorized intrusion and attack. ,Construction
Project Co shall ensure that the maximum noise level of 65 dBA Leq24 (A-weighted 24 hour equivalent sound level) measured 2 m inside the affected residential property line is adhered to.,Construction
Project Co shall ensure that the ITS devices and network are protected and secure with respect to intrusion and attack from unauthorized users. ,Construction
Project Co shall ensure that the Construction Project Co’s suppliers are adequately trained in and comply with all relevant IMS Manual requirements and Management Plans;,Construction
Project Co shall ensure that the Construction Project Co’s subProject Cos are adequately trained in and comply with all relevant IMS Manual requirements and Management Plans;,Construction
Project Co shall ensure that the Construction Project Co complies with the Traffic Management Plan in connection with the Works.,Construction
Project Co shall ensure that the Construction Project Co complies with the Project Safety Plan in connection with the Works.,Construction
Project Co shall ensure that the Construction Project Co complies with the IMS Manual in connection with the Works.,Construction
Project Co shall ensure that the Construction Project Co complies with the Environmental Protection Plan in connection with the Works.,Construction
Project Co shall ensure that the Construction Project Co complies with the Design Management Plan in connection with the Works.,Construction
Project Co shall ensure that the Construction Project Co complies with the Construction Management Plan in connection with the Works.,Construction
Project Co shall ensure that the ATMS software  as well as the generic application programming interface (API) can accommodate the integration of future devices.,Construction
"Project Co shall ensure that any software used to access the VMS unit, either remotely or via handheld devices, shall be protected against unauthorized intrusion or attack. ",Construction
Project Co shall ensure that all of Project Co’s employees and SubProject Cos are aware of the importance of continuous improvement and are actively engaged in its implementation in connection with the performance of the Project Work.,Construction
Project Co shall designate a traffic manager (the “Traffic Manager”) who shall have completed an approved course in traffic accommodation and hold a valid certificate which shall be made available on request from the Ministry Representative.,Construction
"Project Co shall design, test and install the receiver and wireless network.",Construction
"Project Co shall design, install, test and maintain the following in the traffic control room: Device drivers required to interface with the Bypass ITS devices.",Construction
"Project Co shall design, install, test and maintain the following in the traffic control room: Central software to communicate with the ITS devices from the work stations; ",Construction
"Project Co shall design the Data Hub, including all racks, wiring, harnesses and interfaces, within a secure temperature controlled environment for the communication and computer area. ",Construction
Project Co shall design and procure and the Ministry shall install the two work stations prior to the Substantial Completion Date and the Ministry may add up to three more (to make a total of five) work stations.,Construction
Project Co shall design and prepare the ATMS software code with an Application Programming Interface (API) to install the required interfaces to the Ministry’s Highway Hotline website. ,Construction
"Project Co shall design and install, as a minimum, the following ITS facilities as part of the Works: Wireless network to transmit the data between the devices and the data management centre. The wireless network shall transmit data to a local receiver which will be fed into a Sasktel fiber optic network and to the Data Management Centre. ",Construction
"Project Co shall design and install, as a minimum, the following ITS facilities as part of the Works: Variable Message Signs (VMS);",Construction
"Project Co shall design and install, as a minimum, the following ITS facilities as part of the Works: Traffic data counter (TDC) stations;",Construction
"Project Co shall design and install, as a minimum, the following ITS facilities as part of the Works: Road-Weather Information System (RWIS) station;",Construction
"Project Co shall design and install, as a minimum, the following ITS facilities as part of the Works: Provision of Data Management Centre (Traffic Operations Hub) including the control room and the operator work stations, supervisor station, and video wall-display which will be located at 1855 Victoria Ave  in Regina;",Construction
"Project Co shall design and install, as a minimum, the following ITS facilities as part of the Works: Provision of Data Management Centre (Data Hub) located at 1 Research Drive, in the Government Research Centre, Regina;",Construction
"Project Co shall design and install, as a minimum, the following ITS facilities as part of the Works: Commercial Vehicle Enforcement (CVE) pre-screening sites including weigh in motion scales, CCTV cameras and Licence Plate Readers;",Construction
"Project Co shall design and install, as a minimum, the following ITS facilities as part of the Works: CCTV cameras;",Construction
Project Co shall design and install Variable Message Sign (VMS) units at the designated locations on the RBP corridor.,Construction
"Project Co shall design and install traffic signal controllers and signal heads at two locations; the Pilot Butte Access Road DDI and the intersection of Highway 46 and Highway 364, north of Balgonie.",Construction
Project Co shall design and install the Traffic Data Counter (TDC) stations on the Bypass mainline. ,Construction
"Project Co shall design and install the administrative portal, accessible by any web browser, to retrieve archived data on a 24 hour basis.",Construction
Project Co shall design and install cameras that will be operational throughout the Project Term.,Construction
"Project Co shall conduct the test of the VPN connection under Ministry supervision which will include but not be limited to speed, available bandwidth, and latency. ",Construction
"Project Co shall comply with the general provisions for Utility Work as follows: Utility Infrastructure shall be relocated such as to provide access, acceptable to the Utility Company, for maintenance and repairs.",Construction
"Project Co shall comply with the general provisions for Utility Work as follows: Project Co shall provide, at all times, continuity of Utility service to properties adjoining the Lands. Where Utility Work affects service to adjacent property owners, Project Co shall coordinate and/or perform such Utility Work so as to minimize interference to those affected.",Construction
"Project Co shall comply with the general provisions for Utility Work as follows: if relocation of Utility Infrastructure is required for the Works, the Utility Infrastructure shall be relocated such that it protects for future widening as shown in the Reference Concept;",Construction
"Project Co shall communicate and coordinate with the Regina Airport Authority located at 1–5201 Regina Avenue, Regina, SK S4W 1B3 to ensure that there is no interference of the ITS technologies with airport navigation or guidance systems. ",Construction
Project Co shall be responsible to review the results of the penetration test with the Ministry and provide recommendations to address the issues.,Construction
Project Co shall be responsible to ensure that all devices and software used in the pre-screening sites are protected against unauthorized intrusion or attack.,Construction
Project Co shall be responsible to arrange for the interface to the Ministry DMC from the SaskTel data centre.,Construction
"Project Co shall be responsible for the procurement, installation of the eight TDC units.",Construction
Project Co shall be responsible for the design and construction of four prescreening sites for commercial vehicle enforcement.,Construction
"Project Co shall be responsible for selecting the exact location of the RWIS station, considering local conditions including but not limited to availability of right-of-way, power, and communications, accessibility, and geotechnical soil conditions.",Construction
"Project Co shall be responsible for selecting the exact location of each VMS structure, accounting for factors including but not limited to sight distance, local weather characteristics, key decision points on the Bypass, geometrics, topography and geotechnical soil conditions.",Construction
"Project Co shall be responsible for obtaining all necessary permits, licenses and approvals. (Ministry of Environment, Department of Fisheries and Oceans, transport canada, Water Security Agency, Aquatic habitat protection permit, Saskatchewan environment)",Construction
"Project Co shall be responsible for any and all legal, technical and financial agreements to obtain access to the local tower to install, operate and maintain the receivers and to obtain the use of the SaskTel fiber network and data centre. ",Construction
"Project Co shall be responsible for all travel, boarding and lodging costs incurred by the Ministry Representative to attend fabrication inspections and pre-construction meetings outside the Province of Saskatchewan.",Construction
Project Co shall be responsible for all on-going consultation with NavCanada and Transport Canada during the design development and construction phases of the Project to ensure the New Bypass Infrastructure meets all airport compatibility requirements.,Construction
"Project Co shall be compliant with Government of Saskatchewan technical standards (http://www.highways.gov.sk.ca/business).  The standards shall apply to all areas of the ITS Infrastructure for the Bypass including but not limited to hardware, software and applications. The standards will be followed by Project Co to tie into the Data Management Centre and Ministry systems. Project Co shall work closely with the Ministry to ensure the data from the field devices tie into the Data Management Centre.",Construction
Project Co shall appoint an OHS Manager who shall be responsible for the Project Safety Plan and shall functionally report to the IMS Director.,Construction
Project Co shall appoint a Quality Manager who shall be responsible for the quality management aspects of the construction operations during the Project Operations.,Construction
Project Co shall appoint a Quality Control Manager who shall be responsible for quality control requirements as set out in the CMP.,Construction
Project Co shall accept full responsibility for quality control and quality assurance of all activities affecting the Traffic Accommodation Plan and shall ensure that all personnel identified in the Traffic Accommodation Plan are suitably qualified and licensed,Construction
Project Co is responsible to ensure that the wireless network and devices that communicate and transmit data to and from the Data Management Centre are compliant with Canadian Radio-television and Telecommunications Commission (CRTC) regulations. Project Co shall obtain all necessary approvals and permits from the CRTC and other regulatory agencies.,Construction
"Project Co is responsible to determine if the available space within the building meets the requirement for a “secure, temperature controlled environment” through site inspection(s) and meeting(s) with ITO staff. If not, Project Co shall provide a separate enclosed area for the communication and computer racks.",Construction
"Project Co is responsible for the provision, testing and commissioning of the ATMS software.  ",Construction
"Project Co is responsible for any legal, technical and financial lease agreements to access and erect the receiver on the local towers, for power and communications connections to the receiver and access from the receiver into the SaskTel 4G LTE network, the SaskTel fiber optic network, and the SaskTel Data Centre.   ",Construction
"Project Co is responsible for any and all legal, technical and financial agreements to modify and occupy the current facility.",Construction
Project Co is responsible for all cyber and network security on any segment of the transmission between the devices and the Data Management Centre. ,Construction
"Project Co and sub-Project Cos are directed to review and consider results of the paper entitled “Green Lights Forever: Analyzing the Security of Traffic Infrastructure” by Branden Ghena, William Beyer, Allen Hillaker, Jonathan Pevarnek, and J. Alex Halderman (Aug.2014) from the Electrical Engineering and Computer Science Department at the University of Michigan. The paper appeared in the proceedings of the 8th USENIX Workshop on Offensive Technologies (WOOT’14), August 2014.",Construction
Pre-construction meeting shall be held at the fabricator’s plant and Project Co shall ensure that the plant superintendent and plant manager responsible for the work and any manufacturer’s representative directly involved in the specialized work are in attendance.,Construction
Post Construction Road Safety Audits shall take place prior to Phase One Substantial Completion and Substantial Completion.,Construction
Ministry shall be given sufficient notice of all upcoming Witness Points to allow auditing of the work.,Construction
ix. monitoring queue lengths in active construction zones and implementing appropriate measures when such queues become excessive,Construction
iv. coordinating with persons carrying out work in areas adjacent to the Lands,Construction
It is Project Co’s responsibility to obtain the latest versions of any applicable railway design standards that are to be followed during construction of any railway crossing.,Construction
"Issues considered in the Temporary Traffic Accommodation On-Site Road Safety Audit shall include, but not be limited to: Traffic signal configuration;",Construction
"Issues considered in the Temporary Traffic Accommodation On-Site Road Safety Audit shall include, but not be limited to: Traffic control devices;",Construction
"Issues considered in the Temporary Traffic Accommodation On-Site Road Safety Audit shall include, but not be limited to: Signing and pavement markings;",Construction
"Issues considered in the Temporary Traffic Accommodation On-Site Road Safety Audit shall include, but not be limited to: Sight lines;",Construction
"Issues considered in the Temporary Traffic Accommodation On-Site Road Safety Audit shall include, but not be limited to: Safety barriers;",Construction
"Issues considered in the Temporary Traffic Accommodation On-Site Road Safety Audit shall include, but not be limited to: Provision for vulnerable road user;",Construction
"Issues considered in the Temporary Traffic Accommodation On-Site Road Safety Audit shall include, but not be limited to: Lighting;",Construction
"Issues considered in the Temporary Traffic Accommodation On-Site Road Safety Audit shall include, but not be limited to: Intersection details;",Construction
"Issues considered in the Temporary Traffic Accommodation On-Site Road Safety Audit shall include, but not be limited to: Drainage:",Construction
"Issues considered in the Temporary Traffic Accommodation On-Site Road Safety Audit shall include, but not be limited to: Clearances to roadside objects;",Construction
"Issues considered in the Temporary Traffic Accommodation On-Site Road Safety Audit shall include, but not be limited to: At-grade railway crossings;",Construction
"Issues considered in the Temporary Traffic Accommodation On-Site Road Safety Audit shall include, but not be limited to: Accommodation of design vehicles;",Construction
"Internal IMS Audits covering IMS-OHS as relevant for scopes of work in excess of $1,000,000 carried out on the Lands but not permanently incorporated into the Bypass Infrastructure will be subject to Internal IMS Audits covering the relevant aspects of their work and will take place at least once per year or as agreed in writing by the Ministry at an alternative interval.",Construction
"Internal IMS Audits covering IMS-EMS as relevant for scopes of work in excess of $1,000,000 carried out on the Lands but not permanently incorporated into the Bypass Infrastructure will be subject to Internal IMS Audits covering the relevant aspects of their work and will take place at least once per year or as agreed in writing by the Ministry at an alternative interval.",Construction
"Incident verification – the operator will use the pan-tilt-zoom feature of the CCTV units to verify the details of the incident including but not limited to: location, number and types of vehicles, accident severity, possible injuries, environmental impacts, and lane closure requirements;",Construction
Incident response – Timely checking on progress using the CCTV camera units may be required.,Construction
Incident response – the operator shall initiate an appropriate response to the incident and coordinate with the jurisdictions and emergency services during the process.,Construction
"Incident response – In addition, the operator shall initiate alternate route plans and update traveller information systems that will advise motorists and divert traffic. ",Construction
"Incident management is a coordinated and systematic approach to minimize the duration of incidents through detection verification, response and restoration of the accident site to normal operations. The CCTV camera units installed by Project Co shall be part of the Ministry incident management system.",Construction
"Incident detection – this is primarily done through the traffic detector units but can also be performed by operators who scan the corridor using the CCTV cameras as well as drivers and service patrols that report a problem. The traffic data is evaluated by the Data Management Centre’s (DMC) Advanced Traffic Management System (ATMS) software to assess accident potential, before the DMC operators are alerted;",Construction
Incident clearance and site management/restoration – the operator shall ensure that the site is cleared of vehicles involved in the incident and is restored to normal operation. ,Construction
Incident clearance and site management/restoration – CCTV cameras may be used by the operator to confirm progress.,Construction
"In the event Project Co acknowledges and accepts the occurrence of an incidence of Non-Conformance, Project Co shall advise the Ministry of the actions to be undertaken by Project Co to correct or rectify the incidence of Non-Conformance (including the Preventative Action) and the time period within which same will be attended to.",Construction
"In the event of termination of this Project Agreement prior to the Expiry Date, Project Co shall deliver all records that Project Co retains and maintains to the Ministry in the manner and to the location that the Ministry shall reasonably specify.",Construction
"In choosing the quadrant of the interchange for the CCTV camera, Project Co shall consider factors including but not limited to access to power and communications, field of view of traffic corridors for incident management purposes, and accessibility for maintenance vehicles. ",Construction
"In any case where the Works involves the complete or partial demolition of an existing Structure, Project Co shall submit to the Ministry Representative in accordance with the Review Procedure a TAF in respect of such complete or partial demolition.",Construction
"In addition to the maintenance of the NCRTS, Project Co shall maintain and make available to Ministry upon request, records of: the reference numbers of all NCRs;",Construction
